,titulo,subtitulo,link
34,PICTURE PERFECT,Ronaldo and Georgina pose with kids and friends in Majorca holiday snaps,https://www.thesun.co.uk/sport/football/18989621/man-utd-cristiano-ronaldo-georgina-rodriguez-majorca-photos/
35,NEYM YOUR PRICE,Neymar's agents 'open talks with Juventus over stunning transfer from PSG',https://www.thesun.co.uk/sport/football/18998938/neymar-agent-juventus-transfer-psg/
36,ALL TO PLAY FOR,Joe Allen on Huddersfield's transfer wish list after leaving Stoke on free,https://www.thesun.co.uk/sport/19001315/joe-allen-transfer-wales-swansea-free/
37,CEK HIM OUT,"Newcastle, Villa and Everton on alert with Soucek struggling to agree new deal",https://www.thesun.co.uk/sport/18996629/west-ham-tomas-soucek-contract-transfer-offers/
38,BOTMAN BEGINS,Newcastle finally strike £39m deal for Botman with medical set for next week,https://www.thesun.co.uk/sport/18996542/newcastle-transfer-deal-sven-botman-medical-next-week/
39,PLAYBOY MUMMY,Ex-Rangers wag in tears as she becomes Scotland's oldest Playboy model at 38,https://www.thesun.co.uk/sport/18995953/rangers-wag-stephanie-heaney-playboy-nacho-novo/
40,S-MART MOVE,Arsenal open fresh talks for Martinez in bid to beat Man Utd to Ajax defender,https://www.thesun.co.uk/sport/football/18998662/arsenal-lisandro-martinez-transfer-talks-ajax/
41,LIGT WORK,Chelsea prepare De Ligt bid with club willing to fork out £38m plus star forward,https://www.thesun.co.uk/sport/football/18994767/chelsea-de-ligt-offer-cash-player-juventus/
42,ZI YA LATER,Chelsea star Hakim Ziyech 'hands in transfer request as AC Milan open talks',https://www.thesun.co.uk/sport/football/18998959/chelsea-hakim-ziyech-ac-milan/
43,MARC IT OUT,Cucurella hints at Man City transfer as he likes Insta post after Phillips deal,https://www.thesun.co.uk/sport/football/18999076/brighton-marc-cucurella-man-city-transfer-phillips/
44,DAMNED UTD,Neville calls Man Utd a GRAVEYARD and uses Eriksen as example of Glazers' effect,https://www.thesun.co.uk/sport/18994393/gary-neville-man-utd-graveyard-eriksen-glazers-transfer/
45,AARD LUCK,Ramsey's transfer collapses after 'practically agreeing' to join Pirlo's side,https://www.thesun.co.uk/sport/football/18999444/aaron-ramsey-pirlo-turkey/
46,'I WANT TO PLAY',Kepa warns Chelsea to play him or he will seek transfer exit this summer,https://www.thesun.co.uk/sport/football/19000853/kepa-chelsea-transfer-exit-tuchel/
47,SAL SEARCHING,Marseille launch £26m permanent bid for Arsenal defender William Saliba,https://www.thesun.co.uk/sport/football/19000715/marseille-william-saliba-bid-arsenal/
48,RAPH READY,Arsenal in Raphinha transfer boost as Leeds move for Charles de Ketelaere,https://www.thesun.co.uk/sport/football/19000798/arsenal-raphina-leeds-charles-de-ketelaere/
